datetime,G01,G02,G03,G04,G05,G06,G07,G08,G09
2016-01-14,0.9584701754385965,0.9636178571428572,0.9639928571428571,0.9620482142857143,0.9597561403508772,0.9588910714285714,0.9561232142857143,0.9619785714285715,0.9601614035087719
2016-01-15,0.9736715124210525,0.9815100020418471,0.9756493808730158,0.9737563410535715,0.9727807097908915,0.9723785039231602,0.9647197181053572,0.9745425945887446,0.9780924177192982
2016-01-18,1.0104876027436158,1.0194716427595287,1.0147880278751469,1.0135534485974822,1.0098000692047195,1.0082655441276274,1.0027215838010726,1.0118185344631851,1.0174723115387758
2016-01-19,0.9973270895633856,1.0089740256226905,1.0075952298487223,1.0046390511029426,1.0001928896040022,0.9991751577098267,0.9935100434052693,0.9995054812207177,1.0087259442904
2016-01-20,0.9505705822826731,0.9616154169661152,0.9644061936183457,0.9594368457971217,0.9597881409293167,0.9594718467582727,0.9532050687878713,0.9599850344932505,0.9674550794761878
2016-01-21,0.9657592251642328,0.9837118470861427,0.9845923424787962,0.9758709237346785,0.9784833245881943,0.979039257451252,0.9713143216378257,0.977941720078108,0.9838017342673372
2016-01-22,0.9747087309712121,0.9938311024867641,0.9953151421607319,0.989211702158466,0.9918481576744207,0.990444646407714,0.9839517409501987,0.9924593689490206,0.9976854792525465
2016-01-25,0.9226572108889857,0.941564890446707,0.9505501024499259,0.9365746951337394,0.936867132000736,0.9387320562884428,0.9306667765004948,0.9467741414190507,0.9353382031924988
2016-01-26,0.9136410804590177,0.9365830381435987,0.9453496100618326,0.9299230770575413,0.9298180144765098,0.9336544869660496,0.9245263012930601,0.9417634208940509,0.9291265324951328
2016-01-27,0.8799487188957585,0.8983305955899721,0.9098627948058307,0.89240998012904,0.8911391745067904,0.8934072244815241,0.8869893532142199,0.9056185408001373,0.888706365347654
2016-01-28,0.911648276934033,0.9317745087495921,0.9443836479649592,0.9310763682047216,0.9307122055412231,0.930567709683341,0.9245374988932259,0.9434570045197767,0.9279803812869163
2016-01-29,0.896217450991394,0.9146088827780131,0.9305727525556292,0.9198337218244903,0.9206971781415962,0.9184667038689783,0.9134350442528371,0.931428540346568,0.9170034133543056
2016-02-01,0.9276483241843981,0.9474556389320333,0.9634837482397101,0.9545501016129805,0.9552598394251742,0.9550301687113188,0.948401951820815,0.9680555979478432,0.9518287371019704
2016-02-02,0.92838566525581,0.9489233784002754,0.9670240296488263,0.9590885162162718,0.9613916193944498,0.960056686802744,0.952518506844451,0.9727541991311875,0.9575343760014864
2016-02-03,0.9439914414613996,0.968225432810706,0.9867639155448048,0.98045540987671,0.9849493343727832,0.9789181702319552,0.9732359836399721,0.9935468201376166,0.9799559047958575
