datetime,G01,G02,G03,G04,G05,G06,G07,G08,G09
2016-01-14,0.9658835616438356,0.9651125,0.9605597222222222,0.9599013698630137,0.9611666666666666,0.9602680555555556,0.9510493150684931,1.0,1.0
2016-01-15,0.987189918138454,0.9844535268415179,0.9745281473970734,0.9733374178767122,0.9739709653153152,0.9690184982118056,0.9632363327201565,1.0070348214285714,1.0
2016-01-18,1.0292372027872172,1.0231412801837743,1.0141681800661642,1.0139839884472437,1.0119425515403582,1.0086444778831973,0.9978854972150887,1.0429287909637097,1.0345225806451612
2016-01-19,1.0186641297040393,1.0184973009404017,1.0037861209035925,1.0054553106213378,0.9999982238562873,0.9967880560157723,0.9914491357580514,1.03058763407333,1.0217152900941504
2016-01-20,0.9730517896210057,0.9739243164519421,0.9608061813502419,0.9609083945070179,0.9580887330763068,0.9544067948045382,0.9519795456635234,0.9875162402743454,0.9796759077661943
2016-01-21,0.9942764817821139,0.996939155557615,0.9821635301813987,0.9802508177929998,0.9759228114978156,0.9712853343635662,0.9677540929367747,1.0035361373514857,0.9939694637153228
2016-01-22,1.0068081733199454,1.0110609047534456,0.9954349099509736,0.9905246806194857,0.9876729221482493,0.9858102009043288,0.9783022007395332,1.0150780840409905,1.005160713945299
2016-01-25,0.9535381670840921,0.9581041159945574,0.9447139007797228,0.9388433177834019,0.9296116830466292,0.9326402130982769,0.9289150078533486,0.9625480091659298,0.9537503791146856
2016-01-26,0.9500616714242369,0.9506903724211374,0.9398952083589182,0.9295915024952591,0.9230390078917368,0.9283384905153795,0.9234632377038092,0.9544393719714733,0.9472393996430172
2016-01-27,0.9185301352535722,0.9124754512934702,0.9056838226854691,0.8941337180232729,0.8888577689383852,0.8919314251432995,0.8835181476715412,0.9116999830390043,0.8993506033224266
2016-01-28,0.9554997319405889,0.9467622324818469,0.939674423419034,0.9296073606760161,0.925567192597455,0.9302420995920451,0.9217552939312899,0.9526951296971573,0.9364933781267585
2016-01-29,0.9487317461237873,0.9375577362839779,0.9275733694156273,0.917285032804198,0.9105289294491573,0.917285156062013,0.9075004081648823,0.9378677291331434,0.9193829982508804
2016-02-01,0.9839061749247189,0.9729915097381827,0.9615393134147623,0.950389001727567,0.9456764986941599,0.9514852466537437,0.9423438482061037,0.9724632264760243,0.9545803015641698
2016-02-02,0.9926114220474971,0.9794530960272069,0.9669322585855855,0.9528938681909185,0.9514752891555491,0.9534808942814654,0.9442768716430058,0.9770417335981025,0.953522445548945
